北京尚坤能源科技投资有限公司,北京尚坤是全球领先的多元化能源解决方案提供商，主要以风力发电为运营为主的公司，在绿色能源领域拥有资本、技术、设备和人才等全产业链优势，在宏观选址和微观选址上拥有一流的技术专家团队。公司积极响应国家号召，根据国家建设“资源节约型、环境友好型”社会的号召，加快风力发电等可再生能源发展为战略目标。
华电电力科学研究院有限公司,华电电科院简介
黑龙江偕远能源科技有限公司,黑龙江偕远能源科技有限公司成立于2016年，公司注册资金1500万元人民币，公司位于哈尔滨市南岗区黄河路235号。主要经营范围：技术开发、技术服务、技术转让、风力发电、太阳能发电工程设计服务，从事电站设备的运行维护、检修、安装、技术改造、技术咨询及配件销售等业务。
天津爱派蓝科技有限公司,天津爱派蓝科技有限公司是一家以技术创新和服务、备品备件供应和国产化、部件研发制造供应为核心业务，致力于为中国风电行业提供全套解决方案新能源科技公司。公司成立于2015年，注册资金1500万元人名币。是大型风力发电整机商西门子歌美飒和中国最大风力发电公司国电龙源的技术服务供应商。现拥有资深高级风电专家三名，高级风电技术专家2名。公司拥有20多名技术服务人员的服务团队，所有员工均有专科以上学历及资深的专业经验。主要从事不同品牌风机的吊装督导、调试、维护、技术培训、叶片维护、备品备件的开发、采购和销售等工作。优秀的员工，先进的技术，严格的管理是公司得以不断发够赢得用户信赖的根本所在。“以客户为中心，提供诚信、可靠、专业的服务”是公司的服务信念。我们真诚的期待与您的合作。
中节能风力发电（河南）有限公司,中节能风力发电（河南）有限公司是隶属于中国节能风力发电股份有限公司的一家中央企业公司，于2016年7月28日注册成立，办公地点设立在河南省郑州市郑东新区楷林IFC（国际金融中心）。
中广核新能源投资（深圳）有限公司江西分公司,中国广核新能源控股有限公司（简称：中广核新能源），作为中国广核集团控股子公司，于2014年10月在香港上市，定位为中国广核集团开发、运营非核清洁及可再生能源发电项目的重要平台，负责中广核新能源产业的经营发展和改革创新。作为央企，中广核新能源业务全面覆盖风电、太阳能、水电、综合能源等多业态新能源业务，发展速度、发展质量、度电成本、度电利润等综合实力排名国内同行业前列。
宁夏浙能新能源有限公司,"宁夏浙能新能源有限公司是浙江省能源集团的下属企业，正式成立于2019年3月21日,由浙江省能源集团浙江浙能能源服务有限公司投资组建并管理。"
北京尚坤能源科技投资有限公司,北京尚坤是全球领先的多元化能源解决方案提供商，主要以风力发电为运营为主的公司，在绿色能源领域拥有资本、技术、设备和人才等全产业链优势，在宏观选址和微观选址上拥有一流的技术专家团队。公司积极响应国家号召，根据国家建设“资源节约型、环境友好型”社会的号召，加快风力发电等可再生能源发展为战略目标。
华电电力科学研究院有限公司,华电电科院简介  华电电力科学研究院（简称“华电电科院”，英文缩写CHDER;）始建于1956年10月，是中国华电集团公司直属的科研机构。主要从事火力发电技术、水电及新能源发电技术、分布式能源技术、质量检验检测及咨询等专业，开展技术监督、技术服务和技术研究工作，是中国华电集团公司和电力行业发电技术研究及技术创新的专业机构，同时也是集团公司国内外技术合作、人才培养和员工技能培训的平台。  拥有国家能源分布式能源技术研发（实验）中心、国家能源火力发电系统能效检测技术研发中心、国资委电力节能技术科研及试验基地、浙江省蓄能和建筑节能重点实验室，以及中国华电集团公司动力技术中心、水电技术中心、新能源技术中心、环保监督技术中心和煤炭质检计量中心等服务华电集团及电力行业的先进科研平台集群。  具备国家认监委检验检测机构CMA资质认定证书、火电和水电工程咨询甲级资质、电源工程类调试特级资质等多项资质，构建了华电电科院行政体系、资质认定体系和质量、环境、职业健康安全体系有效整合的五合一管理体系，是发电集团中首家覆盖全部发电领域的国家级资质认定科研院所。  华电电科院以科学发展观为指导，秉持中国华电集团公司“高效、清洁、共赢、持续”的发展理念，致力于创建“一流人才、一流科研、一流管理、一流服务”的一流科研院所，为集团公司建设世界一流能源集团以及发电企业的安全稳定、经济高效、节能环保运行提供可持续的技术服务和创新支持，努力为电力行业的科学发展及技术进步做出贡献！
黑龙江偕远能源科技有限公司,"黑龙江偕远能源科技有限公司成立于2016年，公司注册资金1500万元人民币，公司位于哈尔滨市南岗区黄河路235号。主要经营范围：技术开发、技术服务、技术转让、风力发电、太阳能发电工程设计服务，从事电站设备的运行维护、检修、安装、技术改造、技术咨询及配件销售等业务。    

       公司始终奉行以人为本、诚信务实、求信誉、追求卓越的企业精神，公司现有一支强有力、工作经验丰富的领导团队和专业技术人员。公司现有员工45人，拥有大专以上学历占企业职工90％以上。

       公司具有完善的组织机构，设有综合管理部、财务部、工程部、项目管理部、技术服务中心五大部门。公司已通过ISO9001、ISO14001、QHSA18001管理体系认证。完善的管理体系，全方位把控工程质量。

       公司恪守“安全第一，客户至上”的服务理念，遵循“优质、高效、团结、奉献”的工作态度，打造一支重承诺，守信用具有专业化水准的技术服务团队。公司愿用赤诚之心，托起风电能源技术服务的重担，让“偕远”能够真正做到与客户长青久远、携手共进、迈向美好未来。

       电话：0451-86553311 邓女士"
